model.name,macs,params,memory_bytes,flops,acc@top1,acc@top5,error@top1,error@top5,acc@top1_static,acc@top5_static,error@top1_static,error@top5_static,mce@top1,mce@top5,rel_mce@top1,rel_mce@top5,mean_flip_rate,mean_flip_probability,fsgm_drop_acc_2_eps_0.0001,fsgm_drop_acc_inf_eps_0.0001,pgd_drop_acc_2_eps_0.0001,pgd_drop_acc_inf_eps_0.0001,traing_energy_consumption_kwh,eps,gpu_latency_gtx970,gpu_energy_watt_seconds_gtx970,gpu_latency_a100,gpu_energy_watt_seconds_a100,gpu_latency_rtx_quattro5000,gpu_energy_watt_seconds_rtx_quattro5000,cpu_latency_xeon_e31231,cpu_latency_xeon_w2155,cpu_avg_watt_xeon_w2155,cpu_watt_seconds_xeon_w2155,cpu_latency_i7-10610,cpu_avg_watt_i7-10610,cpu_watt_seconds_i7-10610,host_memory_bytes_max_mean_i7-10610,host_memory_bytes_max_std_i7-10610,host_memory_bytes_max_mean_xeon_w2155,host_memory_bytes_max_std_xeon_w2155,host_memory_bytes_max_mean_ws020,host_memory_bytes_max_std_ws020,device_memory_bytes_max_mean_ws020,device_memory_bytes_max_std_ws020,host_memory_bytes_max_mean_a100,host_memory_bytes_max_std_a100,device_memory_bytes_max_mean_a100,device_memory_bytes_max_std_a100
alexnet,714691904.0,61100840.0,244403360.0,1429383808.0,56.52,79.068,43.48,20.932000000000002,56.522,79.066,43.478,20.933999999999997,1.0,1.0,1.0,1.0,1.0,0.1083687999999999,,,,,2.4696,2.44140625e-07,0.0019721674919128,0.0669068201977539,0.0076138401031494,0.4123811840380859,0.00135134100914,0.1295286861796875,0.0368359732627868,0.0260908922,44.07602708963704,1.1499828713999998,0.0307938499999999,11.507335718008628,0.3543551699999999,681986457.6,5778647.251932709,1567051776.0,3904217.303539136,4418499379.2,133543485.23069228,1424883712.0,8388608.0,4758868787.2,108248003.80996633,2009071616.0,0.0
densenet121,2865672192.0,7978856.0,31915424.0,5731344384.0,74.43,91.972,25.569999999999993,8.028000000000006,74.434,91.972,25.566000000000003,8.028000000000006,0.7438301108091014,0.6027202582471459,0.9317456834583576,0.7186877942559546,,,,,,,,,0.0249049425125122,2.3096036969775398,0.0234148931503295,1.7248752669360352,0.0135242307186126,1.1347119415979012,0.2738071703910827,0.1598799076,44.36412310698634,7.092931903100001,0.19065478,15.388530568181928,2.9338969100000005,276665139.2,4936089.854916598,1157925273.6,2534604.8,4063982387.2,61215.67581722838,1456340992.0,0.0,4390673612.8,1248927.8286566285,2036334592.0,0.0
densenet161,7787012832.0,28681000.0,114724000.0,15574025664.0,77.134,93.562,22.866,6.438000000000002,77.138,93.56,22.861999999999995,6.439999999999998,0.6696643349029072,0.5112874954061353,0.8416343861181107,0.6190986621187541,,,,,,,,,0.033583869934082,4.204227133095703,0.0323186683654785,3.2900981951586914,0.0205140399932861,2.412296073441162,0.6489467096328735,0.363366436,45.615866227941865,16.5752747363,0.45887442,15.413663720893398,7.072936,452090265.6,3484876.8,1336003788.8,4603642.6357128285,4238446592.0,3235840.0,1487798272.0,0.0,4561012326.4,152371.19999999998,2067791872.0,0.0
densenet169,3398071168.0,14149480.0,56597920.0,6796142336.0,75.598,92.81,24.402,7.189999999999998,75.6,92.806,24.400000000000006,7.194000000000003,0.704522886240795,0.556923314049066,0.8746896554233019,0.6688849576647373,,,,,,,,,0.0353129482269287,3.4243739025756814,0.0325008082389831,2.8200800383374025,0.0187095284461975,1.6270168170070798,0.4187616991996765,0.2369098446,44.37669853673949,10.5132767542,0.27742306,15.845870455037154,4.396009869999999,454213632.0,55318.75087526833,1249692876.8,1638.4,4240248012.8,26214.4,1487798272.0,0.0,4471430348.8,15629.339876015238,2067791872.0,0.0
densenet201,4340971136.0,20013928.0,80055712.0,8681942272.0,76.898,93.372,23.102000000000004,6.628,76.896,93.37,23.104,6.6299999999999955,0.6922349476696286,0.5396477529394971,0.8833963522151085,0.6554805130517326,,,,,,,,,0.043174250125885,4.345772053330077,0.0390378832817077,3.412349003378907,0.0220534884929657,2.040186903914306,0.5676909208297729,0.3180378681,44.63276616115639,14.1949097973,0.37371412,15.819038948809318,5.911798219999999,454717440.0,106496.0,1269981184.0,8192.0,4240764108.8,12796.313069005464,1498284032.0,0.0,4488495104.0,446520.3634147048,2078277632.0,0.0
googlenet,1504879712.0,6624904.0,26499616.0,3009759424.0,69.778,89.532,30.221999999999994,10.468000000000004,69.778,89.53,30.221999999999994,10.469999999999999,0.8051413805250817,0.6885611583497284,0.93359503691801,0.7851713995187358,,,,,,,,,0.0119909811019897,0.9896721737646484,0.013386971950531,0.840287140871582,0.0066882357597351,0.4484538216899413,0.1283379864692688,0.0769217869,43.60314234457806,3.3540316236,0.08811181,15.442140389580011,1.36063494,454770688.0,0.0,1270442393.6,78643.20000000001,4241136844.8,173670.40000000002,1498284032.0,0.0,4489748480.0,0.0,2078277632.0,0.0
mnasnet0_5,110586848.0,2218512.0,8874048.0,221173696.0,67.734,87.49,32.266000000000005,12.510000000000005,67.734,87.49,32.266000000000005,12.510000000000005,0.9059465708846752,0.8446540412397769,1.0999162302695482,0.9700883469705436,,,,,,,,,0.0087291932106018,0.6572887040600586,0.0080417203903198,0.4360491619287108,0.0046547784805297,0.2495144654016112,0.0581213474273681,0.0689923558,40.49715556603736,2.7939941657000005,0.07874988,15.76187303396526,1.24124561,456856371.2,692397.9975402586,1270403072.0,0.0,4241944576.0,0.0,1498284032.0,0.0,4490434150.4,340787.2,2078277632.0,0.0
mnasnet0_75,225023408.0,3170208.0,12680832.0,450046816.0,,,,,,,,,,,,,,,,,,,,,0.0086605310440063,0.7031827746069336,0.008233196735382,0.5054827166479492,0.004652202129364,0.2643847432495118,0.0784233736991882,0.1036873368,40.87320900694597,4.2380341884,,,,,,,,,,,,,,,
mnasnet1_0,325329152.0,4383312.0,17533248.0,650658304.0,73.458,91.512,26.542,8.488,73.456,91.51,26.543999999999997,8.489999999999995,0.8284177728271526,0.7220486097797999,1.0891443994793228,0.8849804380986155,,,,,,,,,0.0086943697929382,0.7449584871069337,0.0082480359077453,0.5085493992309571,0.0044752433300018,0.2882783114702149,0.0921709513664245,0.1276479994,41.11560113491289,5.248324229,0.14524411,16.409646766398993,2.38340454,468402176.0,1537374.5486994376,1276490547.2,239542.82096226557,4248955289.6,125329.56837011767,1498284032.0,0.0,4497626726.4,79996.8828832724,2078277632.0,0.0
mnasnet1_3,541067136.0,6282256.0,25129024.0,1082134272.0,,,,,,,,,,,,,,,,,,,,,0.0086253809928894,0.8155643402587891,0.0075275135040283,0.463303908894043,0.0042670538425445,0.3876823602788086,0.1221914029121399,0.1671564619,41.46325125286705,6.930850378299999,,,,,,,,,,,,,,,
